"","surveyor_id","audio_1","record_prime","start_time","end_time","treat_assign","treat_all","block","community","TG_inv","TP_inv","female","education","age","age2","income","party_close","econfood","econinc","earners","assets1.elec","assets1.generator","assets1.radio","assets1.tv","assets1.phone","assets1.fridge","assets1.comp","assets1.stove","assets1.lock","assets2.watch","assets2.bike","assets2.moto","assets2.cart","assets2.car","assets2.tractor","assets2.wheelbarrow","assets2.smartphone","assets3.cattle","assets3.horses","assets3.mules","assets3.goats","assets3.sheep","assets3.chickens","assets3.rabbits","assets3.pigs","land","rooms","assets_pc_urb","assets_pc_rur","activism.act_rally_opp","activism.act_rally_zpf","activism.act_clothes","activism.act_volunteer","activism.act_ngo_peace","activism.act_ngo_elec","activism.act_run","activism.act_facebook","activism_pc","harm.exp","mdp.exp","abduct.exp","sexual.exp","murder.exp","torture.exp","arrest.exp","threat.exp","discrim.exp","trauma_exp","prob_threat_elec","prob_beat_elec","prob_abduct_elec","prob_mdp_elec","prob_sexual_elec","prob_kill_elec","prob_act_elec","prob_shirt_elec","prob_joke_elec","prob_meeting_elec","prob_vh_elec","prob_pungwe_elec","prob_testify_elec","prob_threat_now","prob_beat_now","prob_abduct_now","prob_mdp_now","prob_sexual_now","prob_kill_now","prob_act_now","prob_shirt_now","prob_joke_now","prob_meeting_now","prob_vh_now","prob_pungwe_now","prob_testify_now","prob_shirt_oth_elec","prob_joke_oth_elec","prob_meeting_oth_elec","prob_vh_oth_elec","prob_pungwe_oth_elec","prob_testify_oth_elec","prob_shirt_oth_now","prob_joke_oth_now","prob_meeting_oth_now","prob_vh_oth_now","prob_pungwe_oth_now","prob_testify_oth_now","fear_bin","anger_bin","sadness_bin","surprise_bin","disgust_bin","happiness_bin","prob_shirt_elec_bin","prob_joke_elec_bin","prob_meeting_elec_bin","prob_vh_elec_bin","prob_pungwe_elec_bin","prob_testify_elec_bin","prob_shirt_now_bin","prob_joke_now_bin","prob_meeting_now_bin","prob_vh_now_bin","prob_pungwe_now_bin","prob_testify_now_bin","prob_shirt_elec_oth_bin","prob_joke_elec_oth_bin","prob_meeting_elec_oth_bin","prob_vh_elec_oth_bin","prob_pungwe_elec_oth_bin","prob_testify_elec_oth_bin","prob_threat_elec_bin","prob_beat_elec_bin","prob_abduct_elec_bin","prob_mdp_elec_bin","prob_sexual_elec_bin","prob_kill_elec_bin","fear_st","anger_st","sadness_st","surprise_st","happiness_st","disgust_st","prob_threat_st","prob_beat_st","prob_abduct_st","prob_mdp_st","prob_sexual_st","prob_kill_st","prob_pun_st","prob_biz_st","prob_job_st","prob_worse_st","prob_asset_st","prob_theft_st","prob_sick_st","prob_econ_months_st","prob_econ_years_st","prob_econ_st","risk_seeking_st","risk_averse_st","prob_shirt_st","prob_joke_st","prob_meeting_st","prob_vh_st","prob_pungwe_st","prob_testify_st","prob_act_st","prob_shirt_oth_st","prob_joke_oth_st","prob_meeting_oth_st","prob_vh_oth_st","prob_pungwe_oth_st","prob_testify_oth_st","prob_act_oth_st","prob_act","prob_pun","prob_act_oth","risk_averse","uncer_seeking","loss_seeking","prob_econ","wristband","wristband_real"
"1","Surveyor 1","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_r2v6%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A741b651c-f670-44d6-8b68-edc876984cd6%5D%2Faudio_1",0.089835949,"Sun Sep 27 14:26:36 UTC 2015","Sun Sep 27 14:52:22 UTC 2015","TG",1,"Blessing0","Highfield",1.5625,NA,0,2,32,1024,325,1,3,4,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1.21192637372261,-0.272625154558726,2,3,2,2,0,0,NA,0,-0.384742237292491,0,0,0,0,0,0,0,1,1,0.222222222222222,5,4,5,5,4,4,3.5,4,4,4,4,4,1,3,2,3,3,2,2,3.83333333333333,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.943009343827866,1.09784831531052,1.24005941613579,1.18261035056259,-1.09887549728719,1.1148722779043,0.816058279806745,-0.00456572780430228,1.04906226060136,1.06176470658909,0.331670484844376,0.238850977548776,0.633414703441671,-0.753410104876714,0.979299806530849,0.836276692288985,1.16421193805804,-0.0950011205556138,0.376069989065579,0.618486690634396,0.421451660273048,0.528273341973913,-0.0727970142665137,0.0727970142665137,0.498363036178398,1.01188560083603,0.337613531626619,0.75732722158123,0.726220968207376,-0.571491023153612,0.509920270651115,0.91474247413321,1.6113331363312,0.835926260234173,1.48549810873841,1.42577997021573,1.57479832764728,1.59630919286164,3.66666666666667,3.5,4,-3,0,2,3.33333333333333,0,1
"2","Surveyor 1","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_r2v6%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4d5604f8-de93-4388-9abf-094407c58c86%5D%2Faudio_1",0.068262546,"Sun Sep 27 07:43:03 UTC 2015","Sun Sep 27 08:19:36 UTC 2015","TG",1,"Blessing0","Highfield",1.5625,NA,0,2,41,1681,300,1,4,4,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.16127723868366,-1.01664615415751,3,2,2,3,0,0,NA,0,-0.363720313555493,1,1,0,0,0,1,1,1,1,0.666666666666667,5,5,4,4,4,4,1.33333333333333,1,1,2,1,1,2,3,4,3,3,3,3,1.66666666666667,1,2,3,1,1,2,2,2,3,2,4,2,2,2,3,2,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0.194642498014292,0.383765866793064,1.24005941613579,1.18261035056259,-1.09887549728719,1.1148722779043,0.816058279806745,1.45646716957237,0.602058367935004,0.590523782721535,0.754517318112106,0.725680995482587,0.882978517917499,-0.753410104876714,0.979299806530849,0.836276692288985,1.16421193805804,1.66531376032782,0.880163804196037,1.01608527747079,0.927514962633951,0.999145166313988,1.38097022586178,-1.38097022586178,-1.77445651123852,-0.861976622934394,-0.913772531545405,-1.40646484007943,-1.44904308632954,-0.571491023153612,-1.30232695357708,-1.42699825964781,-0.778593184067334,-0.341382689058106,-0.95850906245075,1.42577997021573,-0.734184329155144,-0.585773481582893,1.5,3.75,2.5,-5,-1,-3,3.75,1,1
"3","Surveyor 1","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_r2v7%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab7d4d350-9966-429b-8c4b-7b9ff05c4aa6%5D%2Faudio_1",0.086489386,"Tue Sep 29 13:08:47 UTC 2015","Tue Sep 29 13:36:06 UTC 2015","TG",1,"Blessing0","Bikita",1.5625,NA,0,2,28,784,50,2,3,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,-0.698184905460102,0.904444837107511,0,0,0,0,0,0,NA,0,-0.472521919550263,1,1,1,0,0,0,0,1,1,0.555555555555556,5,3,4,4,4,4,2.5,2,1,3,3,3,3,4,4,3,3,2,2,3,3,2,3,4,3,3,3,3,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0.943009343827866,1.09784831531052,1.24005941613579,1.18261035056259,-0.322584359288107,0.385791580037266,1.28510799378576,0.482445237987922,0.602058367935004,0.590523782721535,0.331670484844376,0.238850977548776,0.633414703441671,0.891818200399993,-0.249701942701093,0.836276692288985,1.62262038866839,1.66531376032782,-0.128023826064878,1.21488457088899,0.758827195180316,0.999145166313988,-1.5265642543948,1.5265642543948,-0.638046737530063,-0.861976622934394,-0.496643843821397,0.396695211304454,0.00113295002840458,0.142033972486319,-0.256799708830046,0.329307290687956,1.01385155623157,0.835926260234173,0.874496315941123,0.813364412539173,1.57479832764728,1.11140193187396,2.75,3.5,3.66666666666667,-1,2,0,3.75,1,1
"4","Surveyor 8","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_r2v7%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa8a70675-6721-41b6-af77-6331fa9f9fa6%5D%2Faudio_1",0.061408626,"Thu Oct 01 09:51:45 UTC 2015","Thu Oct 01 10:20:36 UTC 2015","TP",1,"Shellaz1","Nyanadzi",NA,1.66666666666667,1,2,26,676,55,3,4,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,3,-1.25699845224751,1.54068774172026,1,0,0,0,0,0,NA,0,-0.463791738060599,1,1,1,0,0,1,0,1,1,0.666666666666667,4,4,4,5,5,4,1.16666666666667,1,1,2,1,1,1,4,4,4,4,4,4,1.16666666666667,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.943009343827866,1.09784831531052,1.24005941613579,1.18261035056259,-1.09887549728719,1.1148722779043,0.816058279806745,0.969456203780147,1.04906226060136,1.53300563045665,1.60021098464757,1.2125110134164,1.29891820871055,-1.16471718119589,-1.06903644218905,-0.430200029206353,-0.669421864383371,-0.535079840776472,-0.632117641195336,-0.773108363292995,-1.09673824680966,-0.978516495914328,-0.799680634330659,0.799680634330659,-1.77445651123852,-1.23674906768848,-1.33090121926941,-1.40646484007943,-1.44904308632954,-1.28501601879354,-1.58113421884296,-1.42699825964781,-1.37607476416697,-2.10734611299652,-1.56951085524804,-2.24871337584359,-1.31142999335575,-2.04049526454591,1.16666666666667,4.16666666666667,1.5,-2,-1,1,2,0,1
"5","Surveyor 8","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_r2v7%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A5a34d0ef-d0ce-4073-ac02-e4b94173bffc%5D%2Faudio_1",0.098961167,"Sun Sep 27 09:12:09 UTC 2015","Sun Sep 27 09:53:22 UTC 2015","C",0,"Shellaz1","Highfield",1.59259259259259,1.66666666666667,1,2,34,1156,60,3,1,3,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.37624367376383,-1.09188424088716,3,0,3,3,2,0,NA,0,1.22208107937239,0,0,0,0,0,0,0,1,0,0.111111111111111,4,5,5,5,4,4,3.5,4,3,4,2,4,4,2,2,2,1,2,2,5,5,5,5,5,5,5,2,2,2,1,1,1,2,4,2,2,2,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,-1.30209119361285,1.09784831531052,-0.286343066651411,-1.16042911002884,1.22999791671005,-0.34328911782977,-0.122041148151279,0.482445237987922,0.602058367935004,0.119282858853976,0.331670484844376,0.238850977548776,0.300662950807233,-0.342103028557537,-0.249701942701093,-0.00804112204124021,0.247395036837333,-0.975158560997329,-0.128023826064878,0.817285984052595,-1.26542601426329,-0.319295941838222,-1.5265642543948,1.5265642543948,0.877166294081218,1.01188560083603,0.754742219350627,0.396695211304454,1.08876497729686,1.21232146594621,0.997832984866399,-1.42699825964781,0.416369976131932,-1.51869163835038,-1.56951085524804,-1.63629781816704,-1.31142999335575,-1.43436118831132,4.25,3.16666666666667,1.91666666666667,-1,0,0,2.58333333333333,1,1
"7","Surveyor 8","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_r2v7%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0eac2a45-60bb-4823-91e5-896a76a735a6%5D%2Faudio_1",0.072623124,"Sun Sep 27 13:09:07 UTC 2015","Sun Sep 27 13:39:30 UTC 2015","C",0,"Shellaz0","Highfield",1.44444444444444,1.40740740740741,0,2,35,1225,80,3,2,4,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.37624367376383,-1.01664615415751,3,3,3,3,0,0,NA,0,-0.34870769585025,0,0,0,0,0,0,0,1,1,0.222222222222222,5,4,4,4,4,3,3,2,2,5,3,3,3,4,3,3,2,2,2,3.83333333333333,5,3,5,3,3,4,3,3,4,3,3,2,4,4,4,3,3,2,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,-1.30209119361285,-1.04439903024185,-1.04954430804501,-0.379415956498362,1.22999791671005,-0.34328911782977,1.28510799378576,0.482445237987922,0.602058367935004,0.119282858853976,0.331670484844376,-0.247979040385035,0.467038827124452,0.480511124080816,0.569632556786869,-0.430200029206353,1.16421193805804,-0.535079840776472,-0.632117641195336,0.419687397216197,-0.0846116420878544,0.151575882501853,-0.799680634330659,0.799680634330659,0.119559778275578,-0.112431733426225,1.17187090707464,0.0360632010276775,0.00113295002840458,0.498796470306284,0.300814821701707,0.329307290687956,1.01385155623157,0.835926260234173,0.263494523143832,0.200948854862619,-0.734184329155144,0.384041040392453,3.41666666666667,3.33333333333333,3.16666666666667,-2,1,0,3,1,1
"8","Surveyor 8","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_r2v7%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0b2fea94-cf5b-4994-acd8-58f902451035%5D%2Faudio_1",0.091757616,"Tue Sep 29 09:53:20 UTC 2015","Tue Sep 29 10:14:35 UTC 2015","C",0,"Shellaz0","Bikita",1.44444444444444,1.40740740740741,0,2,21,441,0,3,3,4,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,-0.496029095266308,0.802968947893116,1,0,0,0,0,0,NA,0,-0.463791738060599,0,1,0,0,0,0,0,1,1,0.333333333333333,4,4,4,4,4,3,2.5,3,2,4,2,2,2,4,4,4,4,4,3,2.66666666666667,4,2,4,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0.943009343827866,1.09784831531052,1.24005941613579,1.18261035056259,-1.09887549728719,1.1148722779043,0.816058279806745,0.969456203780147,1.04906226060136,1.06176470658909,1.17736415137984,0.238850977548776,0.966166456076109,0.0692040477616394,0.569632556786869,-1.27451784353658,0.247395036837333,-0.535079840776472,-0.632117641195336,0.0220888103797994,-0.590674944448757,-0.319295941838222,-1.5265642543948,1.5265642543948,0.119559778275578,-0.48720417818031,0.337613531626619,-0.685200819525875,-0.723955068150567,-0.571491023153612,-0.396203341462985,-0.256127892757299,-0.778593184067334,-0.341382689058106,-0.95850906245075,-1.02388226049049,-0.734184329155144,-0.828227112076729,2.58333333333333,3.83333333333333,2.33333333333333,-1,0,0,2.58333333333333,1,1
"9","Surveyor 6","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_rv8%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af2fd6462-d8c3-4f3c-be5b-3e201685f2f1%5D%2Faudio_1",0.036429539,"Mon Oct 05 14:22:09 UTC 2015","Mon Oct 05 14:49:04 UTC 2015","TG",1,"Simon1","Highfield",1.59090909090909,NA,1,2,22,484,80,2,4,4,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.09150397272847,-1.09188424088716,2,1,2,2,0,0,NA,0,-0.395215970208019,0,0,0,0,0,0,0,1,0,0.111111111111111,5,4,4,3,3,3,2.16666666666667,4,2,4,1,1,1,1,1,1,1,1,1,3.83333333333333,4,3,4,4,4,4,3,2,4,2,3,2,4,4,4,4,4,4,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0.943009343827866,0.383765866793064,0.47685817474219,0.401597197032113,-0.322584359288107,1.1148722779043,-0.122041148151279,-0.491576693596527,-0.291949417397717,-0.823198988881142,-0.514023181691085,-0.734809058318846,-0.53121643077886,0.0692040477616394,0.979299806530849,-0.430200029206353,-1.58623876560407,-1.41523728121819,-1.64030527145625,-0.574309069874797,-0.928050479356025,-0.790167766178298,-0.0727970142665137,0.0727970142665137,0.498363036178398,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647,-0.0476942598806386,0.329307290687956,0.416369976131932,0.835926260234173,0.263494523143832,0.813364412539173,0.420306999246066,0.62649467088629,3,2.33333333333333,3.33333333333333,-3,0,-1,2.16666666666667,NA,0
"10","Surveyor 2","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_rv8%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae4c48a8c-f52c-41e6-ad18-1a6c8dad741f%5D%2Faudio_1",0.060723829,"Mon Oct 05 14:35:39 UTC 2015","Mon Oct 05 15:04:15 UTC 2015","C",0,"Deborah1","Highfield",1.75,1.75,1,2,37,1369,50,3,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.330379761226425,-1.09188424088716,3,3,0,2,0,0,NA,0,-0.395563558297785,0,0,0,0,0,0,0,0,0,0,5,5,4,4,1,4,1.33333333333333,1,1,3,1,1,1,1,1,2,1,1,1,3.66666666666667,4,2,5,4,5,2,4,2,4,3,3,2,4,4,4,4,4,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,-1.30209119361285,-1.04439903024185,-1.04954430804501,0.401597197032113,0.453706778710971,-1.07236981569681,-0.122041148151279,-0.00456572780430228,0.155054475268644,-0.351958065013583,-1.35971684822655,-0.247979040385035,-0.364840554461642,1.30312527671917,1.38896705627483,0.836276692288985,-0.669421864383371,0.785156319886102,-1.64030527145625,0.618486690634396,0.421451660273048,0.528273341973913,-0.799680634330659,0.799680634330659,-0.638046737530063,-0.861976622934394,0.337613531626619,-0.324568809249099,0.00113295002840458,-0.928253520973577,-0.465905157779454,0.91474247413321,0.416369976131932,0.835926260234173,0.874496315941123,0.813364412539173,-0.156938664954539,0.747721486133207,2.5,2.5,3.41666666666667,-2,1,0,3.33333333333333,NA,0
"11","Surveyor 1","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_rv8%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae2800f8a-8c99-42d8-8b56-63c17e6cd97b%5D%2Faudio_1",0.070282962,"Mon Oct 05 13:35:20 UTC 2015","Mon Oct 05 14:03:50 UTC 2015","C",0,"Blessing1","Highfield",1.44,1.4,1,1,57,3249,5,3,4,4,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.09150397272847,-1.01664615415751,3,3,2,0,0,0,NA,0,-0.411069273213022,0,0,0,0,0,0,0,1,0,0.111111111111111,5,4,3,4,4,3,3,2,2,3,3,4,4,2,2,3,1,1,1,3.83333333333333,4,4,3,4,4,4,2,2,4,2,4,2,4,4,3,4,4,4,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,-1.30209119361285,-1.04439903024185,-1.04954430804501,-1.16042911002884,1.22999791671005,-1.07236981569681,0.347008565827733,-0.00456572780430228,0.155054475268644,-0.351958065013583,-0.0911763484233544,-0.734809058318846,-0.115276739985814,0.891818200399993,0.979299806530849,0.836276692288985,-0.669421864383371,0.785156319886102,0.376069989065579,0.618486690634396,0.758827195180316,0.716622071709943,-1.5265642543948,1.5265642543948,-0.259243479627243,0.262340711327859,-0.496643843821397,0.396695211304454,0.726220968207376,0.855558968126249,0.300814821701707,-0.256127892757299,0.416369976131932,0.247271785588033,0.263494523143832,1.42577997021573,0.420306999246066,0.505267855639371,3.41666666666667,2.75,3.25,-1,0,0,3.5,NA,0
"12","Surveyor 1","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_rv8%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac02fff4a-cc58-405d-8cee-758843e09170%5D%2Faudio_1",0.003975441,"Thu Oct 01 08:54:42 UTC 2015","Thu Oct 01 09:47:35 UTC 2015","TP",1,"Blessing0","Beschnov",NA,1.53125,0,2,22,484,30,1,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,-0.933886453018566,0.317202216739654,0,3,3,0,0,0,NA,0,-0.427484066434534,1,1,1,0,0,0,0,1,1,0.555555555555556,5,4,4,4,5,5,3.33333333333333,4,3,3,4,3,3,3,2,1,2,3,4,4.16666666666667,4,4,4,5,4,4,4,2,2,4,4,2,4,2,2,4,4,2,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.943009343827866,1.09784831531052,1.24005941613579,1.18261035056259,-0.322584359288107,1.1148722779043,0.816058279806745,-0.00456572780430228,-0.291949417397717,0.119282858853976,1.17736415137984,1.69934103135021,0.633414703441671,0.480511124080816,0.979299806530849,0.836276692288985,1.62262038866839,1.66531376032782,-1.13621145632579,0.817285984052595,1.09620273008758,0.999145166313988,-0.799680634330659,0.799680634330659,0.498363036178398,0.637113156081943,-0.079515156097389,1.11795923185801,0.36367695911789,0.498796470306284,0.579622086967584,0.91474247413321,-0.778593184067334,-1.51869163835038,1.48549810873841,1.42577997021573,-0.734184329155144,0.141587409898616,3.75,3.5,3,-2,-1,2,3.75,1,1
"13","Surveyor 3","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_rv8%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab6cb1cce-57b7-4aaf-b925-f3d6f9f34409%5D%2Faudio_1",0.05183509,"Thu Oct 01 13:28:00 UTC 2015","Thu Oct 01 14:11:11 UTC 2015","TP",1,"Faye1","Nyanadzi",NA,1.54545454545455,1,2,23,529,0,2,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.871310818145932,-1.01664615415751,0,0,1,0,0,0,NA,0,-0.462746168302784,0,0,0,0,0,0,0,0,1,0.111111111111111,1,1,1,1,1,1,1.33333333333333,3,1,1,1,1,1,1,1,1,1,1,1,2,4,1,2,2,2,1,2,2,2,2,2,1,4,4,4,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.30209119361285,-1.04439903024185,-1.04954430804501,-1.16042911002884,1.22999791671005,-1.07236981569681,-1.99824000406733,-1.9526095909732,-1.6329610953968,-1.76568083661626,-1.35971684822655,-1.70846909418647,-1.86222344131661,1.30312527671917,-1.88837094167702,0.414117785123872,-0.669421864383371,1.22523504010696,1.38425761932649,0.618486690634396,0.0840761253657796,0.339924612237883,-1.5265642543948,1.5265642543948,0.119559778275578,-1.23674906768848,-1.74802990699342,-1.04583282980265,-1.08649907724005,-1.28501601879354,-1.16292332094415,-0.256127892757299,0.416369976131932,-0.341382689058106,0.263494523143832,0.200948854862619,-1.31142999335575,-0.222093035842138,1.66666666666667,1,2.75,-1,0,0,3.16666666666667,1,1
"14","Surveyor 7","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_rv8%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab61d36fc-ce9d-4f84-a62f-67acd0297b76%5D%2Faudio_1",0.035558616,"Sun Sep 27 11:52:41 UTC 2015","Sun Sep 27 12:24:44 UTC 2015","TP",1,"Tangai0","Highfield",NA,1.84615384615385,0,2,44,1936,0,3,5,5,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.21200045451431,-1.09188424088716,1,2,2,0,0,0,NA,0,-0.433766502650113,1,0,0,0,0,1,0,1,1,0.444444444444444,4,4,3,2,2,4,1.5,3,1,1,1,1,2,2,2,1,1,1,3,2.33333333333333,2,2,3,2,2,3,3,3,5,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0.943009343827866,1.09784831531052,1.24005941613579,0.401597197032113,-0.322584359288107,1.1148722779043,-0.122041148151279,-0.00456572780430228,-0.738953310064077,-1.2944399127487,-0.936870014958815,0.725680995482587,-0.448028492620251,1.30312527671917,-1.88837094167702,0.836276692288985,0.705803487447685,-0.0950011205556138,0.880163804196037,0.220888103797999,0.421451660273048,0.339924612237883,0.654086605797631,-0.654086605797631,-0.638046737530063,-0.861976622934394,-1.33090121926941,-1.04583282980265,-1.08649907724005,-0.214728525333647,-0.953817871994738,0.329307290687956,1.01385155623157,1.42458073488031,0.874496315941123,0.813364412539173,0.997552663446671,1.11140193187396,1.91666666666667,2.41666666666667,3.66666666666667,-4,-2,-2,3.16666666666667,1,1
"15","Surveyor 6","https://columbiaodk.appspot.com/view/binaryData?blobKey=build_Zim_fear_rv8%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa6b9e25f-26c7-417b-8577-fa1fc57f2325%5D%2Faudio_1",0.053972116,"Fri Oct 02 08:23:27 UTC 2015","Fri Oct 02 08:44:25 UTC 2015","C",0,"Simon1","Bikita",1.59090909090909,1.54545454545455,1,1,20,400,0,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.871310818145932,-0.347863241288371,3,2,2,2,0,0,NA,0,-0.381248922260591,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,1.5,4,1,1,1,1,1,1,1,1,1,1,1,1.83333333333333,4,3,1,1,1,1,2,2,4,2,2,2,5,4,4,4,4,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0.943009343827866,1.09784831531052,-0.286343066651411,0.401597197032113,-0.322584359288107,1.1148722779043,-0.122041148151279,-0.00456572780430228,0.155054475268644,0.119282858853976,0.331670484844376,0.238850977548776,0.134287074490015,0.0692040477616394,0.979299806530849,0.836276692288985,0.247395036837333,0.345077599665244,0.376069989065579,0.220888103797999,0.927514962633951,0.622447706841928,-1.5265642543948,1.5265642543948,0.498363036178398,-0.48720417818031,-2.16515859471743,-1.40646484007943,-1.44904308632954,-1.28501601879354,-1.16292332094415,0.329307290687956,0.416369976131932,0.835926260234173,0.263494523143832,0.200948854862619,0.420306999246066,0.505267855639371,1.66666666666667,3,3.25,-1,1,1,3.41666666666667,0,1
